"Step","daily-darkness-44 - train/shaping_reward","daily-darkness-44 - train/shaping_reward__MIN","daily-darkness-44 - train/shaping_reward__MAX"
"669824","0.001126884614166114","0.001126884614166114","0.001126884614166114"
"670008","0.0011081164921672153","0.0011081164921672153","0.0011081164921672153"
"670224","0.0011293076925459591","0.0011293076925459591","0.0011293076925459591"
"672880","0.0011381673172691275","0.0011381673172691275","0.0011381673172691275"
"674152","0.0011638283191341442","0.0011638283191341442","0.0011638283191341442"
"676224","0.001114448314476947","0.001114448314476947","0.001114448314476947"
"676492","0.0011340856651214763","0.0011340856651214763","0.0011340856651214763"
"679072","0.0009556402731321638","0.0009556402731321638","0.0009556402731321638"
"680332","0.0010168017466588924","0.0010168017466588924","0.0010168017466588924"
"682452","0.0010351315128792372","0.0010351315128792372","0.0010351315128792372"
"682700","0.0010550919830518376","0.0010550919830518376","0.0010550919830518376"
"686564","0.0010418102922895608","0.0010418102922895608","0.0010418102922895608"
"687060","0.0015864299796149433","0.0015864299796149433","0.0015864299796149433"
"688680","0.0016702943500144485","0.0016702943500144485","0.0016702943500144485"
"691224","0.0017614409840214802","0.0017614409840214802","0.0017614409840214802"
"696880","0.0019755284638065754","0.0019755284638065754","0.0019755284638065754"
"699420","0.002012309171828738","0.002012309171828738","0.002012309171828738"
"701324","0.002055873927812852","0.002055873927812852","0.002055873927812852"
"701608","0.0020689029815529033","0.0020689029815529033","0.0020689029815529033"
"701948","0.0022134101723482722","0.0022134101723482722","0.0022134101723482722"
"706164","0.0022939033727424544","0.0022939033727424544","0.0022939033727424544"
"707796","0.0021106309747984868","0.0021106309747984868","0.0021106309747984868"
"708144","0.002102472962239814","0.002102472962239814","0.002102472962239814"
"713976","0.002763839833672253","0.002763839833672253","0.002763839833672253"
"715316","0.002890609037349812","0.002890609037349812","0.002890609037349812"
"720032","0.002833936531641269","0.002833936531641269","0.002833936531641269"
"721452","0.002740383560870272","0.002740383560870272","0.002740383560870272"
"726248","0.0026887998689031005","0.0026887998689031005","0.0026887998689031005"
